Year,Sexe,Edat,GeoCode,Value
2022,,,,17.7
2021,,,,19.8
2020,,,,22.1
2019,,,,22.6
2018,,,,25.1
2017,,,,27.5
2016,,,,29.6
2015,,,,30.9
2022,Homes,,,17.2
2021,Homes,,,19.0
2020,Homes,,,21.3
2019,Homes,,,21.8
2018,Homes,,,24.2
2017,Homes,,,26.7
2016,Homes,,,29.0
2015,Homes,,,30.5
2022,Dones,,,18.2
2021,Dones,,,20.5
2020,Dones,,,22.7
2019,Dones,,,23.3
2018,Dones,,,25.9
2017,Dones,,,28.3
2016,Dones,,,30.1
2015,Dones,,,31.2
2022,,<18,,24.3
2021,,<18,,26.0
2020,,<18,,28.4
2019,,<18,,28.9
2018,,<18,,31.2
2017,,<18,,33.8
2016,,<18,,35.9
2015,,<18,,37.2
2022,,18 a 64,,18.9
2021,,18 a 64,,20.6
2020,,18 a 64,,23.2
2019,,18 a 64,,23.5
2018,,18 a 64,,26.1
2017,,18 a 64,,28.6
2016,,18 a 64,,30.9
2015,,18 a 64,,32.3
2022,,>=65,,9.8
2021,,>=65,,12.9
2020,,>=65,,14.4
2019,,>=65,,15.1
2018,,>=65,,17.4
2017,,>=65,,19.5
2016,,>=65,,20.6
2015,,>=65,,21.4
2022,,,d1,14.6
2021,,,d1,16.6
2020,,,d1,17.5
2019,,,d1,17.8
2018,,,d1,18.8
2017,,,d1,20.7
2016,,,d1,23.4
2015,,,d1,24.9
2022,,,d2,10.9
2021,,,d2,12.5
2020,,,d2,14.4
2019,,,d2,13.8
2018,,,d2,15.2
2017,,,d2,17.3
2016,,,d2,19.3
2015,,,d2,20.5
2022,,,d3,13.0
2021,,,d3,14.3
2020,,,d3,16.1
2019,,,d3,16.5
2018,,,d3,18.6
2017,,,d3,21.0
2016,,,d3,22.8
2015,,,d3,23.6
2022,,,d4,14.0
2021,,,d4,15.8
2020,,,d4,17.7
2019,,,d4,18.0
2018,,,d4,20.3
2017,,,d4,21.4
2016,,,d4,23.4
2015,,,d4,24.1
2022,,,d5,18.5
2021,,,d5,20.7
2020,,,d5,23.3
2019,,,d5,24.2
2018,,,d5,26.9
2017,,,d5,30.0
2016,,,d5,32.2
2015,,,d5,32.9
2022,,,d6,9.5
2021,,,d6,10.4
2020,,,d6,11.5
2019,,,d6,11.9
2018,,,d6,13.2
2017,,,d6,14.7
2016,,,d6,15.8
2015,,,d6,16.4
2022,,,d7,24.5
2021,,,d7,26.4
2020,,,d7,29.0
2019,,,d7,29.7
2018,,,d7,32.4
2017,,,d7,34.9
2016,,,d7,36.6
2015,,,d7,37.7
2022,,,d8,14.2
2021,,,d8,16.5
2020,,,d8,18.5
2019,,,d8,19.3
2018,,,d8,21.8
2017,,,d8,24.2
2016,,,d8,25.8
2015,,,d8,27.5
2022,,,d9,20.1
2021,,,d9,22.3
2020,,,d9,24.9
2019,,,d9,25.7
2018,,,d9,28.4
2017,,,d9,30.7
2016,,,d9,32.9
2015,,,d9,34.3
2022,,,d10,19.5
2021,,,d10,22.3
2020,,,d10,25.3
2019,,,d10,25.9
2018,,,d10,28.9
2017,,,d10,31.7
2016,,,d10,33.8
2015,,,d10,34.9
2022,,,d11,23.1
2021,,,d11,25.3
2020,,,d11,28.0
2019,,,d11,28.5
2018,,,d11,31.4
2017,,,d11,34.1
2016,,,d11,36.1
2015,,,d11,38.0
2022,,,d12,17.4
2021,,,d12,19.4
2020,,,d12,21.4
2019,,,d12,21.9
2018,,,d12,24.8
2017,,,d12,27.4
2016,,,d12,29.6
2015,,,d12,31.1
2022,,,d13,14.7
2021,,,d13,16.7
2020,,,d13,18.5
2019,,,d13,18.8
2018,,,d13,21.1
2017,,,d13,22.9
2016,,,d13,24.0
2015,,,d13,24.8
2022,,,d14,14.7
2021,,,d14,16.7
2020,,,d14,18.8
2019,,,d14,19.0
2018,,,d14,21.9
2017,,,d14,24.5
2016,,,d14,26.8
2015,,,d14,27.3
2022,,,d15,23.1
2021,,,d15,25.2
2020,,,d15,28.3
2019,,,d15,28.8
2018,,,d15,31.7
2017,,,d15,34.8
2016,,,d15,37.1
2015,,,d15,38.3
2022,,,d16,20.3
2021,,,d16,22.5
2020,,,d16,25.7
2019,,,d16,27.0
2018,,,d16,30.0
2017,,,d16,32.4
2016,,,d16,34.7
2015,,,d16,36.6
2022,,,d18,21.9
2021,,,d18,25.4
2020,,,d18,27.1
2019,,,d18,28.1
2018,,,d18,32.2
2017,,,d18,34.5
2016,,,d18,38.3
2015,,,d18,40.2
2022,,,d19,19.8
2021,,,d19,21.9
2020,,,d19,23.5
2019,,,d19,23.7
2018,,,d19,25.4
2017,,,d19,28.7
2016,,,d19,31.9
2015,,,d19,34.5
2022,,,d171,13.0
2021,,,d171,16.1
2020,,,d171,17.2
2019,,,d171,17.9
2018,,,d171,20.4
2017,,,d171,22.9
2016,,,d171,25.8
2015,,,d171,27.0
2022,,,d172,13.0
2021,,,d172,16.1
2020,,,d172,17.2
2019,,,d172,17.9
2018,,,d172,20.4
2017,,,d172,22.9
2016,,,d172,25.8
2015,,,d172,27.0
2022,,,d173,13.0
2021,,,d173,16.1
2020,,,d173,17.2
2019,,,d173,17.9
2018,,,d173,20.4
2017,,,d173,22.9
2016,,,d173,25.8
2015,,,d173,27.0
2022,,,d174,13.0
2021,,,d174,16.1
2020,,,d174,17.2
2019,,,d174,17.9
2018,,,d174,20.4
2017,,,d174,22.9
2016,,,d174,25.8
2015,,,d174,27.0
