Year,GeoCode,Value
2018,,57.5
2017,,57.7
2016,,57.5
2015,,57.2
2018,1.0,46.7
2017,1.0,48.0
2016,1.0,47.7
2015,1.0,48.3
2018,2.0,47.7
2017,2.0,48.3
2016,2.0,47.8
2015,2.0,48.0
2018,3.0,53.3
2017,3.0,53.6
2016,3.0,53.5
2015,3.0,53.3
2018,4.0,60.0
2017,4.0,61.3
2016,4.0,61.4
2015,4.0,61.6
2018,5.0,57.4
2017,5.0,57.2
2016,5.0,56.5
2015,5.0,56.2
2018,6.0,49.7
2017,6.0,50.7
2016,6.0,51.3
2015,6.0,50.2
2018,7.0,57.5
2017,7.0,56.9
2016,7.0,56.0
2015,7.0,55.1
2018,8.0,61.4
2017,8.0,61.5
2016,8.0,61.2
2015,8.0,61.1
2018,9.0,60.4
2017,9.0,60.2
2016,9.0,60.0
2015,9.0,59.6
2018,10.0,59.2
2017,10.0,59.1
2016,10.0,58.6
2015,10.0,58.0
2018,11.0,60.5
2017,11.0,60.3
2016,11.0,59.9
2015,11.0,59.7
2018,12.0,63.7
2017,12.0,63.7
2016,12.0,63.7
2015,12.0,63.3
2018,13.0,57.2
2017,13.0,57.6
2016,13.0,57.7
2015,13.0,58.2
2018,14.0,59.3
2017,14.0,59.3
2016,14.0,59.5
2015,14.0,60.1
2018,15.0,63.7
2017,15.0,63.6
2016,15.0,63.1
2015,15.0,62.2
2018,16.0,64.9
2017,16.0,64.2
2016,16.0,63.6
2015,16.0,62.7
2018,17.0,57.4
2017,17.0,61.7
2016,17.0,61.6
2015,17.0,61.7
2018,18.0,62.5
2017,18.0,60.5
2016,18.0,60.8
2015,18.0,60.9
2018,19.0,60.8
2017,19.0,60.4
2016,19.0,60.3
2015,19.0,59.2
