Year,Gender,Age,GeoCode,Value
2020,,,,10.0
2019,,,,10.5
2018,,,,11.5
2017,,,,12.0
2016,,,,12.5
2015,,,,13.3
2020,Men,,,9.8
2019,Men,,,10.3
2018,Men,,,11.3
2017,Men,,,11.8
2016,Men,,,12.5
2015,Men,,,13.4
2020,Women,,,10.2
2019,Women,,,10.8
2018,Women,,,11.7
2017,Women,,,12.2
2016,Women,,,12.5
2015,Women,,,13.1
2020,,<18,,14.3
2019,,<18,,15.1
2018,,<18,,16.4
2017,,<18,,17.3
2016,,<18,,18.0
2015,,<18,,19.0
2020,,18 a 64,,11.2
2019,,18 a 64,,11.7
2018,,18 a 64,,12.8
2017,,18 a 64,,13.4
2016,,18 a 64,,14.0
2015,,18 a 64,,14.9
2020,,>=65,,3.5
2019,,>=65,,3.8
2018,,>=65,,3.9
2017,,>=65,,3.7
2016,,>=65,,3.4
2015,,>=65,,3.5
2020,,,d1,8.7
2019,,,d1,9.7
2018,,,d1,9.4
2017,,,d1,9.5
2016,,,d1,10.5
2015,,,d1,11.4
2020,,,d2,7.2
2019,,,d2,7.1
2018,,,d2,7.1
2017,,,d2,7.8
2016,,,d2,8.3
2015,,,d2,8.9
2020,,,d3,7.8
2019,,,d3,8.2
2018,,,d3,9.1
2017,,,d3,9.5
2016,,,d3,9.9
2015,,,d3,10.3
2020,,,d4,8.7
2019,,,d4,9.0
2018,,,d4,9.5
2017,,,d4,9.8
2016,,,d4,10.8
2015,,,d4,10.6
2020,,,d5,10.4
2019,,,d5,11.3
2018,,,d5,12.6
2017,,,d5,13.1
2016,,,d5,13.4
2015,,,d5,14.2
2020,,,d6,5.7
2019,,,d6,6.1
2018,,,d6,6.7
2017,,,d6,6.9
2016,,,d6,7.1
2015,,,d6,7.7
2020,,,d7,13.3
2019,,,d7,13.2
2018,,,d7,14.8
2017,,,d7,14.9
2016,,,d7,15.3
2015,,,d7,15.7
2020,,,d8,7.8
2019,,,d8,8.0
2018,,,d8,8.9
2017,,,d8,9.4
2016,,,d8,9.6
2015,,,d8,10.4
2020,,,d9,10.9
2019,,,d9,11.6
2018,,,d9,12.4
2017,,,d9,13.0
2016,,,d9,13.1
2015,,,d9,14.2
2020,,,d10,11.4
2019,,,d10,12.1
2018,,,d10,13.3
2017,,,d10,14.0
2016,,,d10,14.6
2015,,,d10,15.2
2020,,,d11,13.6
2019,,,d11,13.9
2018,,,d11,15.7
2017,,,d11,16.3
2016,,,d11,17.0
2015,,,d11,18.2
2020,,,d12,10.0
2019,,,d12,10.7
2018,,,d12,11.2
2017,,,d12,12.1
2016,,,d12,12.3
2015,,,d12,13.3
2020,,,d13,8.6
2019,,,d13,9.3
2018,,,d13,9.7
2017,,,d13,10.1
2016,,,d13,10.2
2015,,,d13,10.7
2020,,,d14,8.5
2019,,,d14,8.8
2018,,,d14,10.1
2017,,,d14,10.7
2016,,,d14,10.8
2015,,,d14,11.7
2020,,,d15,12.3
2019,,,d15,13.2
2018,,,d15,14.2
2017,,,d15,14.9
2016,,,d15,15.9
2015,,,d15,16.7
2020,,,d16,11.0
2019,,,d16,11.7
2018,,,d16,12.7
2017,,,d16,13.4
2016,,,d16,13.9
2015,,,d16,15.0
2020,,,d18,11.3
2019,,,d18,12.8
2018,,,d18,15.0
2017,,,d18,15.2
2016,,,d18,16.0
2015,,,d18,18.0
2020,,,d19,10.1
2019,,,d19,10.6
2018,,,d19,11.1
2017,,,d19,11.6
2016,,,d19,12.7
2015,,,d19,13.4
2020,,,d171,6.4
2019,,,d171,6.0
2018,,,d171,8.1
2017,,,d171,8.3
2016,,,d171,9.1
2015,,,d171,9.7
2020,,,d172,6.4
2019,,,d172,6.0
2018,,,d172,8.1
2017,,,d172,8.3
2016,,,d172,9.1
2015,,,d172,9.7
2020,,,d173,6.4
2019,,,d173,6.0
2018,,,d173,8.1
2017,,,d173,8.3
2016,,,d173,9.1
2015,,,d173,9.7
2020,,,d174,6.4
2019,,,d174,6.0
2018,,,d174,8.1
2017,,,d174,8.3
2016,,,d174,9.1
2015,,,d174,9.7
