Year,Sexo,GeoCode,Value
2020,,,40.89
2019,,,42.35
2018,,,44.18
2017,,,45.16
2016,,,46.89
2015,,,48.22
2014,,,47.86
2013,,,45.6
2012,,,40.22
2011,,,37.93
2010,,,33.64
2009,,,22.86
2020,Hombres,,35.88
2019,Hombres,,38.47
2018,Hombres,,40.69
2017,Hombres,,41.93
2016,Hombres,,43.56
2015,Hombres,,45.3
2014,Hombres,,45.06
2013,Hombres,,42.98
2012,Hombres,,37.78
2011,Hombres,,34.97
2010,Hombres,,30.26
2009,Hombres,,17.76
2020,Mujeres,,44.57
2019,Mujeres,,45.04
2018,Mujeres,,46.64
2017,Mujeres,,47.55
2016,Mujeres,,49.49
2015,Mujeres,,50.66
2014,Mujeres,,50.37
2013,Mujeres,,48.08
2012,Mujeres,,42.6
2011,Mujeres,,40.89
2010,Mujeres,,37.1
2009,Mujeres,,28.18
2020,,1.0,35.5
2019,,1.0,38.14
2018,,1.0,40.6
2020,,2.0,37.71
2019,,2.0,42.03
2018,,2.0,44.25
2020,,3.0,39.48
2019,,3.0,39.8
2018,,3.0,41.67
2020,,4.0,38.28
2019,,4.0,40.03
2018,,4.0,41.89
2020,,5.0,39.76
2019,,5.0,41.42
2018,,5.0,42.77
2020,,6.0,38.22
2019,,6.0,38.22
2018,,6.0,40.13
2020,,7.0,40.4
2019,,7.0,42.09
2018,,7.0,44.45
2020,,8.0,42.0
2019,,8.0,43.48
2018,,8.0,46.0
2020,,9.0,41.13
2019,,9.0,42.83
2018,,9.0,44.68
2020,,10.0,43.48
2019,,10.0,44.56
2018,,10.0,45.92
2020,,11.0,43.86
2019,,11.0,42.61
2018,,11.0,45.33
2020,,12.0,41.05
2019,,12.0,43.93
2018,,12.0,44.78
2020,,13.0,40.57
2019,,13.0,42.2
2018,,13.0,45.04
2020,,14.0,36.4
2019,,14.0,39.36
2018,,14.0,41.47
2020,,15.0,40.93
2019,,15.0,41.58
2018,,15.0,43.67
2020,,16.0,41.96
2019,,16.0,43.16
2018,,16.0,43.86
2020,,17.0,43.4
2019,,17.0,42.4
2018,,17.0,43.71
2020,,18.0,42.38
2019,,18.0,43.56
2018,,18.0,46.67
2020,,19.0,42.12
2019,,19.0,44.43
2018,,19.0,46.11
