Year,Value
2019,1.0
2018,2.0
2017,1.0
2016,4.0
2015,0.0
2014,4.0
2013,2.0
2012,7.0
2011,6.0
2010,7.0
2009,5.0
2021,800180.0
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800862.5
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2019,0.13
2018,0.25
2017,0.13
2016,0.51
2015,0.0
2014,0.51
2013,0.25
2012,0.88
2011,0.75
2010,0.87
2009,0.62
